apps/cloud/cloud/templates/pages/cloud_add_user.html +64,Add User,添加用户
apps/cloud/cloud/templates/pages/cloud_add_user.html +48,Add User By Email,添加指定用户
apps/cloud/cloud/templates/pages/cloud_add_user.html +53,Add User by Email,
apps/cloud/cloud/templates/pages/cloud_add_user.html +3,Adding User to ,添加用户到
DocType: Cloud Company,Address,地址
DocType: Cloud Project Site,Address Settings,地址设定
DocType: Cloud Company,Admin,管理员
apps/cloud/cloud/templates/pages/cloud_company.html +44,Administrator,超级管理员
DocType: Region,All,所有
apps/cloud/cloud/templates/pages/cloud_employee.py +37,Back,后退
DocType: Cloud Project Site,CELL-,
DocType: Region,City,城市
DocType: Cloud Company,Cloud,
apps/cloud/cloud/templates/pages/cloud_employee.html +3,Cloud Account - ,Cloud 账户 -
apps/cloud/cloud/hooks.py +54,Cloud Companies,Cloud 公司列表
DocType: Cloud Company,Cloud Company,Cloud 公司
DocType: Cloud Company Group,Cloud Company Group,Cloud 组
DocType: Cloud Company GroupUser,Cloud Company GroupUser,
DocType: Cloud Employee,Cloud Employee,Cloud 员工
apps/cloud/cloud/hooks.py +66,Cloud Employees,Cloud 员工列表
DocType: Cloud Company,Cloud Manager,Cloud 管理员
DocType: Cloud Permission,Cloud Permission,Cloud 权限
DocType: Cloud Project,Cloud Project,Cloud 项目
DocType: Cloud Project Site,Cloud Project Site,Cloud 项目现场
DocType: Cloud Settings,Cloud Settings,Cloud 设定
DocType: Cloud SignUpRole,Cloud SignUpRole,
DocType: Cloud Company,Cloud User,Cloud 用户
DocType: Cloud User Role,Cloud User Role,Cloud 用户角色
DocType: Cloud User RolePermission,Cloud User RolePermission,
DocType: Cloud Company Group,Company,公司
DocType: Cloud Company,Company Name,公司名称
DocType: Cloud Company,Contact,联系信息
DocType: Cloud Company,Contact Settings,联系信息
DocType: Region,County,县
apps/cloud/cloud/templates/pages/cloud_add_user.html +29,Created,创建
DocType: Cloud Settings,Default Cloud Company,默认Cloud公司
DocType: Cloud Settings,Default Signup Roles,默认注册用户角色
DocType: Cloud Settings,Default Wechat App,默认微信公共帐号
